timestamp,date,aqi,pm25,pm10,co,no2,o3,temperature,humidity,pressure,dominant_pollutant,aqi_category,city,city_geo_lat,city_geo_lon,station_name,station_url,station_idx,time_iso,time_s,time_tz,time_v,attributions,pm25_trend,pm25_24h_change,pm25_7d_avg,pm25_pm10_ratio,pm25_no2_ratio,pm25_o3_ratio,heat_index,hour_of_day,day_of_week,is_weekend,month,season,pm25_trend_slope,aqhi,iaqi_co,iaqi_h,iaqi_no2,iaqi_o3,iaqi_p,iaqi_pm25,iaqi_t,forecast_pm10_0_avg,forecast_pm10_0_day,forecast_pm10_0_max,forecast_pm10_0_min,forecast_pm10_1_avg,forecast_pm10_1_day,forecast_pm10_1_max,forecast_pm10_1_min,forecast_pm10_2_avg,forecast_pm10_2_day,forecast_pm10_2_max,forecast_pm10_2_min,forecast_pm10_3_avg,forecast_pm10_3_day,forecast_pm10_3_max,forecast_pm10_3_min,forecast_pm10_4_avg,forecast_pm10_4_day,forecast_pm10_4_max,forecast_pm10_4_min,forecast_pm10_5_avg,forecast_pm10_5_day,forecast_pm10_5_max,forecast_pm10_5_min,forecast_pm10_6_avg,forecast_pm10_6_day,forecast_pm10_6_max,forecast_pm10_6_min,forecast_pm10_7_avg,forecast_pm10_7_day,forecast_pm10_7_max,forecast_pm10_7_min,forecast_pm25_0_avg,forecast_pm25_0_day,forecast_pm25_0_max,forecast_pm25_0_min,forecast_pm25_1_avg,forecast_pm25_1_day,forecast_pm25_1_max,forecast_pm25_1_min,forecast_pm25_2_avg,forecast_pm25_2_day,forecast_pm25_2_max,forecast_pm25_2_min,forecast_pm25_3_avg,forecast_pm25_3_day,forecast_pm25_3_max,forecast_pm25_3_min,forecast_pm25_4_avg,forecast_pm25_4_day,forecast_pm25_4_max,forecast_pm25_4_min,forecast_pm25_5_avg,forecast_pm25_5_day,forecast_pm25_5_max,forecast_pm25_5_min,forecast_pm25_6_avg,forecast_pm25_6_day,forecast_pm25_6_max,forecast_pm25_6_min,forecast_pm25_7_avg,forecast_pm25_7_day,forecast_pm25_7_max,forecast_pm25_7_min,forecast_uvi_0_avg,forecast_uvi_0_day,forecast_uvi_0_max,forecast_uvi_0_min,forecast_uvi_1_avg,forecast_uvi_1_day,forecast_uvi_1_max,forecast_uvi_1_min,forecast_uvi_2_avg,forecast_uvi_2_day,forecast_uvi_2_max,forecast_uvi_2_min,forecast_uvi_3_avg,forecast_uvi_3_day,forecast_uvi_3_max,forecast_uvi_3_min,forecast_uvi_4_avg,forecast_uvi_4_day,forecast_uvi_4_max,forecast_uvi_4_min,forecast_uvi_5_avg,forecast_uvi_5_day,forecast_uvi_5_max,forecast_uvi_5_min,forecast_uvi_6_avg,forecast_uvi_6_day,forecast_uvi_6_max,forecast_uvi_6_min,forecast_uvi_7_avg,forecast_uvi_7_day,forecast_uvi_7_max,forecast_uvi_7_min,debug
2025-01-11,2025-01-11,25,25,,2.3,4,16.8,15.3,78.3,1019.2,pm25,,"San Jose - Jackson St, Santa Clara, California",37.34849,-121.89494,"San Jose - Jackson St, Santa Clara, California",https://aqicn.org/city/california/santa-clara/san-jose-jackson-st,3902,2025-06-23T20:00:00-07:00,2025-06-23 20:00:00,-07:00,1750708800,CARB - California Air Resources Board|Air Now - US EPA|World Air Quality Index Project,,,,,6.25,1.4880952380952381,,5,1,0,6,3,,,2.3,78.3,4,16.8,1019.2,25,15.3,6,2025-06-21,10,4,7,2025-06-22,9,6,13,2025-06-23,17,10,20,2025-06-24,23,15,16,2025-06-25,23,10,10,2025-06-26,15,9,12,2025-06-27,29,10,12,2025-06-28,13,9,16,2025-06-21,27,12,20,2025-06-22,30,14,35,2025-06-23,52,28,58,2025-06-24,63,50,45,2025-06-25,63,27,28,2025-06-26,48,25,35,2025-06-27,76,27,32,2025-06-28,37,28,1,2025-06-21,9,0,1,2025-06-22,9,0,1,2025-06-23,8,0,1,2025-06-24,8,0,1,2025-06-25,9,0,2,2025-06-26,10,0,2,2025-06-27,10,0,0,2025-06-28,0,0,{'sync': '2025-06-24T13:45:35+09:00'}
2025-01-12,2025-01-12,25,25,,2.3,4,16.8,15.3,78.3,1019.2,pm25,,"San Jose - Jackson St, Santa Clara, California",37.34849,-121.89494,"San Jose - Jackson St, Santa Clara, California",https://aqicn.org/city/california/santa-clara/san-jose-jackson-st,3902,2025-06-23T20:00:00-07:00,2025-06-23 20:00:00,-07:00,1750708800,CARB - California Air Resources Board|Air Now - US EPA|World Air Quality Index Project,,,,,6.25,1.4880952380952381,,5,1,0,6,3,,,2.3,78.3,4,16.8,1019.2,25,15.3,6,2025-06-21,10,4,7,2025-06-22,9,6,13,2025-06-23,17,10,20,2025-06-24,23,15,16,2025-06-25,23,10,10,2025-06-26,15,9,12,2025-06-27,29,10,12,2025-06-28,13,9,16,2025-06-21,27,12,20,2025-06-22,30,14,35,2025-06-23,52,28,58,2025-06-24,63,50,45,2025-06-25,63,27,28,2025-06-26,48,25,35,2025-06-27,76,27,32,2025-06-28,37,28,1,2025-06-21,9,0,1,2025-06-22,9,0,1,2025-06-23,8,0,1,2025-06-24,8,0,1,2025-06-25,9,0,2,2025-06-26,10,0,2,2025-06-27,10,0,0,2025-06-28,0,0,{'sync': '2025-06-24T13:45:35+09:00'}
2025-01-13,2025-01-13,25,25,,2.3,4,16.8,15.3,78.3,1019.2,pm25,,"San Jose - Jackson St, Santa Clara, California",37.34849,-121.89494,"San Jose - Jackson St, Santa Clara, California",https://aqicn.org/city/california/santa-clara/san-jose-jackson-st,3902,2025-06-23T20:00:00-07:00,2025-06-23 20:00:00,-07:00,1750708800,CARB - California Air Resources Board|Air Now - US EPA|World Air Quality Index Project,,,,,6.25,1.4880952380952381,,5,1,0,6,3,,,2.3,78.3,4,16.8,1019.2,25,15.3,6,2025-06-21,10,4,7,2025-06-22,9,6,13,2025-06-23,17,10,20,2025-06-24,23,15,16,2025-06-25,23,10,10,2025-06-26,15,9,12,2025-06-27,29,10,12,2025-06-28,13,9,16,2025-06-21,27,12,20,2025-06-22,30,14,35,2025-06-23,52,28,58,2025-06-24,63,50,45,2025-06-25,63,27,28,2025-06-26,48,25,35,2025-06-27,76,27,32,2025-06-28,37,28,1,2025-06-21,9,0,1,2025-06-22,9,0,1,2025-06-23,8,0,1,2025-06-24,8,0,1,2025-06-25,9,0,2,2025-06-26,10,0,2,2025-06-27,10,0,0,2025-06-28,0,0,{'sync': '2025-06-24T13:45:35+09:00'}
2025-01-14,2025-01-14,25,25,,2.3,4,16.8,15.3,78.3,1019.2,pm25,,"San Jose - Jackson St, Santa Clara, California",37.34849,-121.89494,"San Jose - Jackson St, Santa Clara, California",https://aqicn.org/city/california/santa-clara/san-jose-jackson-st,3902,2025-06-23T20:00:00-07:00,2025-06-23 20:00:00,-07:00,1750708800,CARB - California Air Resources Board|Air Now - US EPA|World Air Quality Index Project,,,,,6.25,1.4880952380952381,,5,1,0,6,3,,,2.3,78.3,4,16.8,1019.2,25,15.3,6,2025-06-21,10,4,7,2025-06-22,9,6,13,2025-06-23,17,10,20,2025-06-24,23,15,16,2025-06-25,23,10,10,2025-06-26,15,9,12,2025-06-27,29,10,12,2025-06-28,13,9,16,2025-06-21,27,12,20,2025-06-22,30,14,35,2025-06-23,52,28,58,2025-06-24,63,50,45,2025-06-25,63,27,28,2025-06-26,48,25,35,2025-06-27,76,27,32,2025-06-28,37,28,1,2025-06-21,9,0,1,2025-06-22,9,0,1,2025-06-23,8,0,1,2025-06-24,8,0,1,2025-06-25,9,0,2,2025-06-26,10,0,2,2025-06-27,10,0,0,2025-06-28,0,0,{'sync': '2025-06-24T13:45:35+09:00'}
2025-01-15,2025-01-15,25,25,,2.3,4,16.8,15.3,78.3,1019.2,pm25,,"San Jose - Jackson St, Santa Clara, California",37.34849,-121.89494,"San Jose - Jackson St, Santa Clara, California",https://aqicn.org/city/california/santa-clara/san-jose-jackson-st,3902,2025-06-23T20:00:00-07:00,2025-06-23 20:00:00,-07:00,1750708800,CARB - California Air Resources Board|Air Now - US EPA|World Air Quality Index Project,,,,,6.25,1.4880952380952381,,5,1,0,6,3,,,2.3,78.3,4,16.8,1019.2,25,15.3,6,2025-06-21,10,4,7,2025-06-22,9,6,13,2025-06-23,17,10,20,2025-06-24,23,15,16,2025-06-25,23,10,10,2025-06-26,15,9,12,2025-06-27,29,10,12,2025-06-28,13,9,16,2025-06-21,27,12,20,2025-06-22,30,14,35,2025-06-23,52,28,58,2025-06-24,63,50,45,2025-06-25,63,27,28,2025-06-26,48,25,35,2025-06-27,76,27,32,2025-06-28,37,28,1,2025-06-21,9,0,1,2025-06-22,9,0,1,2025-06-23,8,0,1,2025-06-24,8,0,1,2025-06-25,9,0,2,2025-06-26,10,0,2,2025-06-27,10,0,0,2025-06-28,0,0,{'sync': '2025-06-24T13:45:35+09:00'}
2025-01-16,2025-01-16,25,25,,2.3,4,16.8,15.3,78.3,1019.2,pm25,,"San Jose - Jackson St, Santa Clara, California",37.34849,-121.89494,"San Jose - Jackson St, Santa Clara, California",https://aqicn.org/city/california/santa-clara/san-jose-jackson-st,3902,2025-06-23T20:00:00-07:00,2025-06-23 20:00:00,-07:00,1750708800,CARB - California Air Resources Board|Air Now - US EPA|World Air Quality Index Project,,,,,6.25,1.4880952380952381,,5,1,0,6,3,,,2.3,78.3,4,16.8,1019.2,25,15.3,6,2025-06-21,10,4,7,2025-06-22,9,6,13,2025-06-23,17,10,20,2025-06-24,23,15,16,2025-06-25,23,10,10,2025-06-26,15,9,12,2025-06-27,29,10,12,2025-06-28,13,9,16,2025-06-21,27,12,20,2025-06-22,30,14,35,2025-06-23,52,28,58,2025-06-24,63,50,45,2025-06-25,63,27,28,2025-06-26,48,25,35,2025-06-27,76,27,32,2025-06-28,37,28,1,2025-06-21,9,0,1,2025-06-22,9,0,1,2025-06-23,8,0,1,2025-06-24,8,0,1,2025-06-25,9,0,2,2025-06-26,10,0,2,2025-06-27,10,0,0,2025-06-28,0,0,{'sync': '2025-06-24T13:45:35+09:00'}
2025-01-17,2025-01-17,25,25,,2.3,4,16.8,15.3,78.3,1019.2,pm25,,"San Jose - Jackson St, Santa Clara, California",37.34849,-121.89494,"San Jose - Jackson St, Santa Clara, California",https://aqicn.org/city/california/santa-clara/san-jose-jackson-st,3902,2025-06-23T20:00:00-07:00,2025-06-23 20:00:00,-07:00,1750708800,CARB - California Air Resources Board|Air Now - US EPA|World Air Quality Index Project,,,,,6.25,1.4880952380952381,,5,1,0,6,3,,,2.3,78.3,4,16.8,1019.2,25,15.3,6,2025-06-21,10,4,7,2025-06-22,9,6,13,2025-06-23,17,10,20,2025-06-24,23,15,16,2025-06-25,23,10,10,2025-06-26,15,9,12,2025-06-27,29,10,12,2025-06-28,13,9,16,2025-06-21,27,12,20,2025-06-22,30,14,35,2025-06-23,52,28,58,2025-06-24,63,50,45,2025-06-25,63,27,28,2025-06-26,48,25,35,2025-06-27,76,27,32,2025-06-28,37,28,1,2025-06-21,9,0,1,2025-06-22,9,0,1,2025-06-23,8,0,1,2025-06-24,8,0,1,2025-06-25,9,0,2,2025-06-26,10,0,2,2025-06-27,10,0,0,2025-06-28,0,0,{'sync': '2025-06-24T13:45:35+09:00'}
2025-01-18,2025-01-18,25,25,,2.3,4,16.8,15.3,78.3,1019.2,pm25,,"San Jose - Jackson St, Santa Clara, California",37.34849,-121.89494,"San Jose - Jackson St, Santa Clara, California",https://aqicn.org/city/california/santa-clara/san-jose-jackson-st,3902,2025-06-23T20:00:00-07:00,2025-06-23 20:00:00,-07:00,1750708800,CARB - California Air Resources Board|Air Now - US EPA|World Air Quality Index Project,,,,,6.25,1.4880952380952381,,5,1,0,6,3,,,2.3,78.3,4,16.8,1019.2,25,15.3,6,2025-06-21,10,4,7,2025-06-22,9,6,13,2025-06-23,17,10,20,2025-06-24,23,15,16,2025-06-25,23,10,10,2025-06-26,15,9,12,2025-06-27,29,10,12,2025-06-28,13,9,16,2025-06-21,27,12,20,2025-06-22,30,14,35,2025-06-23,52,28,58,2025-06-24,63,50,45,2025-06-25,63,27,28,2025-06-26,48,25,35,2025-06-27,76,27,32,2025-06-28,37,28,1,2025-06-21,9,0,1,2025-06-22,9,0,1,2025-06-23,8,0,1,2025-06-24,8,0,1,2025-06-25,9,0,2,2025-06-26,10,0,2,2025-06-27,10,0,0,2025-06-28,0,0,{'sync': '2025-06-24T13:45:35+09:00'}
2025-01-19,2025-01-19,25,25,,2.3,4,16.8,15.3,78.3,1019.2,pm25,,"San Jose - Jackson St, Santa Clara, California",37.34849,-121.89494,"San Jose - Jackson St, Santa Clara, California",https://aqicn.org/city/california/santa-clara/san-jose-jackson-st,3902,2025-06-23T20:00:00-07:00,2025-06-23 20:00:00,-07:00,1750708800,CARB - California Air Resources Board|Air Now - US EPA|World Air Quality Index Project,,,,,6.25,1.4880952380952381,,5,1,0,6,3,,,2.3,78.3,4,16.8,1019.2,25,15.3,6,2025-06-21,10,4,7,2025-06-22,9,6,13,2025-06-23,17,10,20,2025-06-24,23,15,16,2025-06-25,23,10,10,2025-06-26,15,9,12,2025-06-27,29,10,12,2025-06-28,13,9,16,2025-06-21,27,12,20,2025-06-22,30,14,35,2025-06-23,52,28,58,2025-06-24,63,50,45,2025-06-25,63,27,28,2025-06-26,48,25,35,2025-06-27,76,27,32,2025-06-28,37,28,1,2025-06-21,9,0,1,2025-06-22,9,0,1,2025-06-23,8,0,1,2025-06-24,8,0,1,2025-06-25,9,0,2,2025-06-26,10,0,2,2025-06-27,10,0,0,2025-06-28,0,0,{'sync': '2025-06-24T13:45:35+09:00'}
2025-01-20,2025-01-20,25,25,,2.3,4,16.8,15.3,78.3,1019.2,pm25,,"San Jose - Jackson St, Santa Clara, California",37.34849,-121.89494,"San Jose - Jackson St, Santa Clara, California",https://aqicn.org/city/california/santa-clara/san-jose-jackson-st,3902,2025-06-23T20:00:00-07:00,2025-06-23 20:00:00,-07:00,1750708800,CARB - California Air Resources Board|Air Now - US EPA|World Air Quality Index Project,,,,,6.25,1.4880952380952381,,5,1,0,6,3,,,2.3,78.3,4,16.8,1019.2,25,15.3,6,2025-06-21,10,4,7,2025-06-22,9,6,13,2025-06-23,17,10,20,2025-06-24,23,15,16,2025-06-25,23,10,10,2025-06-26,15,9,12,2025-06-27,29,10,12,2025-06-28,13,9,16,2025-06-21,27,12,20,2025-06-22,30,14,35,2025-06-23,52,28,58,2025-06-24,63,50,45,2025-06-25,63,27,28,2025-06-26,48,25,35,2025-06-27,76,27,32,2025-06-28,37,28,1,2025-06-21,9,0,1,2025-06-22,9,0,1,2025-06-23,8,0,1,2025-06-24,8,0,1,2025-06-25,9,0,2,2025-06-26,10,0,2,2025-06-27,10,0,0,2025-06-28,0,0,{'sync': '2025-06-24T13:45:35+09:00'}
2025-01-21,2025-01-21,25,25,,2.3,4,16.8,15.3,78.3,1019.2,pm25,,"San Jose - Jackson St, Santa Clara, California",37.34849,-121.89494,"San Jose - Jackson St, Santa Clara, California",https://aqicn.org/city/california/santa-clara/san-jose-jackson-st,3902,2025-06-23T20:00:00-07:00,2025-06-23 20:00:00,-07:00,1750708800,CARB - California Air Resources Board|Air Now - US EPA|World Air Quality Index Project,,,,,6.25,1.4880952380952381,,5,1,0,6,3,,,2.3,78.3,4,16.8,1019.2,25,15.3,6,2025-06-21,10,4,7,2025-06-22,9,6,13,2025-06-23,17,10,20,2025-06-24,23,15,16,2025-06-25,23,10,10,2025-06-26,15,9,12,2025-06-27,29,10,12,2025-06-28,13,9,16,2025-06-21,27,12,20,2025-06-22,30,14,35,2025-06-23,52,28,58,2025-06-24,63,50,45,2025-06-25,63,27,28,2025-06-26,48,25,35,2025-06-27,76,27,32,2025-06-28,37,28,1,2025-06-21,9,0,1,2025-06-22,9,0,1,2025-06-23,8,0,1,2025-06-24,8,0,1,2025-06-25,9,0,2,2025-06-26,10,0,2,2025-06-27,10,0,0,2025-06-28,0,0,{'sync': '2025-06-24T13:45:35+09:00'}
2025-01-22,2025-01-22,25,25,,2.3,4,16.8,15.3,78.3,1019.2,pm25,,"San Jose - Jackson St, Santa Clara, California",37.34849,-121.89494,"San Jose - Jackson St, Santa Clara, California",https://aqicn.org/city/california/santa-clara/san-jose-jackson-st,3902,2025-06-23T20:00:00-07:00,2025-06-23 20:00:00,-07:00,1750708800,CARB - California Air Resources Board|Air Now - US EPA|World Air Quality Index Project,,,,,6.25,1.4880952380952381,,5,1,0,6,3,,,2.3,78.3,4,16.8,1019.2,25,15.3,6,2025-06-21,10,4,7,2025-06-22,9,6,13,2025-06-23,17,10,20,2025-06-24,23,15,16,2025-06-25,23,10,10,2025-06-26,15,9,12,2025-06-27,29,10,12,2025-06-28,13,9,16,2025-06-21,27,12,20,2025-06-22,30,14,35,2025-06-23,52,28,58,2025-06-24,63,50,45,2025-06-25,63,27,28,2025-06-26,48,25,35,2025-06-27,76,27,32,2025-06-28,37,28,1,2025-06-21,9,0,1,2025-06-22,9,0,1,2025-06-23,8,0,1,2025-06-24,8,0,1,2025-06-25,9,0,2,2025-06-26,10,0,2,2025-06-27,10,0,0,2025-06-28,0,0,{'sync': '2025-06-24T13:45:35+09:00'}
2025-01-23,2025-01-23,25,25,,2.3,4,16.8,15.3,78.3,1019.2,pm25,,"San Jose - Jackson St, Santa Clara, California",37.34849,-121.89494,"San Jose - Jackson St, Santa Clara, California",https://aqicn.org/city/california/santa-clara/san-jose-jackson-st,3902,2025-06-23T20:00:00-07:00,2025-06-23 20:00:00,-07:00,1750708800,CARB - California Air Resources Board|Air Now - US EPA|World Air Quality Index Project,,,,,6.25,1.4880952380952381,,5,1,0,6,3,,,2.3,78.3,4,16.8,1019.2,25,15.3,6,2025-06-21,10,4,7,2025-06-22,9,6,13,2025-06-23,17,10,20,2025-06-24,23,15,16,2025-06-25,23,10,10,2025-06-26,15,9,12,2025-06-27,29,10,12,2025-06-28,13,9,16,2025-06-21,27,12,20,2025-06-22,30,14,35,2025-06-23,52,28,58,2025-06-24,63,50,45,2025-06-25,63,27,28,2025-06-26,48,25,35,2025-06-27,76,27,32,2025-06-28,37,28,1,2025-06-21,9,0,1,2025-06-22,9,0,1,2025-06-23,8,0,1,2025-06-24,8,0,1,2025-06-25,9,0,2,2025-06-26,10,0,2,2025-06-27,10,0,0,2025-06-28,0,0,{'sync': '2025-06-24T13:45:35+09:00'}
2025-01-24,2025-01-24,25,25,,2.3,4,16.8,15.3,78.3,1019.2,pm25,,"San Jose - Jackson St, Santa Clara, California",37.34849,-121.89494,"San Jose - Jackson St, Santa Clara, California",https://aqicn.org/city/california/santa-clara/san-jose-jackson-st,3902,2025-06-23T20:00:00-07:00,2025-06-23 20:00:00,-07:00,1750708800,CARB - California Air Resources Board|Air Now - US EPA|World Air Quality Index Project,,,,,6.25,1.4880952380952381,,5,1,0,6,3,,,2.3,78.3,4,16.8,1019.2,25,15.3,6,2025-06-21,10,4,7,2025-06-22,9,6,13,2025-06-23,17,10,20,2025-06-24,23,15,16,2025-06-25,23,10,10,2025-06-26,15,9,12,2025-06-27,29,10,12,2025-06-28,13,9,16,2025-06-21,27,12,20,2025-06-22,30,14,35,2025-06-23,52,28,58,2025-06-24,63,50,45,2025-06-25,63,27,28,2025-06-26,48,25,35,2025-06-27,76,27,32,2025-06-28,37,28,1,2025-06-21,9,0,1,2025-06-22,9,0,1,2025-06-23,8,0,1,2025-06-24,8,0,1,2025-06-25,9,0,2,2025-06-26,10,0,2,2025-06-27,10,0,0,2025-06-28,0,0,{'sync': '2025-06-24T13:45:35+09:00'}
2025-01-25,2025-01-25,25,25,,2.3,4,16.8,15.3,78.3,1019.2,pm25,,"San Jose - Jackson St, Santa Clara, California",37.34849,-121.89494,"San Jose - Jackson St, Santa Clara, California",https://aqicn.org/city/california/santa-clara/san-jose-jackson-st,3902,2025-06-23T20:00:00-07:00,2025-06-23 20:00:00,-07:00,1750708800,CARB - California Air Resources Board|Air Now - US EPA|World Air Quality Index Project,,,,,6.25,1.4880952380952381,,5,1,0,6,3,,,2.3,78.3,4,16.8,1019.2,25,15.3,6,2025-06-21,10,4,7,2025-06-22,9,6,13,2025-06-23,17,10,20,2025-06-24,23,15,16,2025-06-25,23,10,10,2025-06-26,15,9,12,2025-06-27,29,10,12,2025-06-28,13,9,16,2025-06-21,27,12,20,2025-06-22,30,14,35,2025-06-23,52,28,58,2025-06-24,63,50,45,2025-06-25,63,27,28,2025-06-26,48,25,35,2025-06-27,76,27,32,2025-06-28,37,28,1,2025-06-21,9,0,1,2025-06-22,9,0,1,2025-06-23,8,0,1,2025-06-24,8,0,1,2025-06-25,9,0,2,2025-06-26,10,0,2,2025-06-27,10,0,0,2025-06-28,0,0,{'sync': '2025-06-24T13:45:35+09:00'}
2025-01-26,2025-01-26,25,25,,2.3,4,16.8,15.3,78.3,1019.2,pm25,,"San Jose - Jackson St, Santa Clara, California",37.34849,-121.89494,"San Jose - Jackson St, Santa Clara, California",https://aqicn.org/city/california/santa-clara/san-jose-jackson-st,3902,2025-06-23T20:00:00-07:00,2025-06-23 20:00:00,-07:00,1750708800,CARB - California Air Resources Board|Air Now - US EPA|World Air Quality Index Project,,,,,6.25,1.4880952380952381,,5,1,0,6,3,,,2.3,78.3,4,16.8,1019.2,25,15.3,6,2025-06-21,10,4,7,2025-06-22,9,6,13,2025-06-23,17,10,20,2025-06-24,23,15,16,2025-06-25,23,10,10,2025-06-26,15,9,12,2025-06-27,29,10,12,2025-06-28,13,9,16,2025-06-21,27,12,20,2025-06-22,30,14,35,2025-06-23,52,28,58,2025-06-24,63,50,45,2025-06-25,63,27,28,2025-06-26,48,25,35,2025-06-27,76,27,32,2025-06-28,37,28,1,2025-06-21,9,0,1,2025-06-22,9,0,1,2025-06-23,8,0,1,2025-06-24,8,0,1,2025-06-25,9,0,2,2025-06-26,10,0,2,2025-06-27,10,0,0,2025-06-28,0,0,{'sync': '2025-06-24T13:45:35+09:00'}
2025-01-27,2025-01-27,25,25,,2.3,4,16.8,15.3,78.3,1019.2,pm25,,"San Jose - Jackson St, Santa Clara, California",37.34849,-121.89494,"San Jose - Jackson St, Santa Clara, California",https://aqicn.org/city/california/santa-clara/san-jose-jackson-st,3902,2025-06-23T20:00:00-07:00,2025-06-23 20:00:00,-07:00,1750708800,CARB - California Air Resources Board|Air Now - US EPA|World Air Quality Index Project,,,,,6.25,1.4880952380952381,,5,1,0,6,3,,,2.3,78.3,4,16.8,1019.2,25,15.3,6,2025-06-21,10,4,7,2025-06-22,9,6,13,2025-06-23,17,10,20,2025-06-24,23,15,16,2025-06-25,23,10,10,2025-06-26,15,9,12,2025-06-27,29,10,12,2025-06-28,13,9,16,2025-06-21,27,12,20,2025-06-22,30,14,35,2025-06-23,52,28,58,2025-06-24,63,50,45,2025-06-25,63,27,28,2025-06-26,48,25,35,2025-06-27,76,27,32,2025-06-28,37,28,1,2025-06-21,9,0,1,2025-06-22,9,0,1,2025-06-23,8,0,1,2025-06-24,8,0,1,2025-06-25,9,0,2,2025-06-26,10,0,2,2025-06-27,10,0,0,2025-06-28,0,0,{'sync': '2025-06-24T13:45:35+09:00'}
2025-01-28,2025-01-28,25,25,,2.3,4,16.8,15.3,78.3,1019.2,pm25,,"San Jose - Jackson St, Santa Clara, California",37.34849,-121.89494,"San Jose - Jackson St, Santa Clara, California",https://aqicn.org/city/california/santa-clara/san-jose-jackson-st,3902,2025-06-23T20:00:00-07:00,2025-06-23 20:00:00,-07:00,1750708800,CARB - California Air Resources Board|Air Now - US EPA|World Air Quality Index Project,,,,,6.25,1.4880952380952381,,5,1,0,6,3,,,2.3,78.3,4,16.8,1019.2,25,15.3,6,2025-06-21,10,4,7,2025-06-22,9,6,13,2025-06-23,17,10,20,2025-06-24,23,15,16,2025-06-25,23,10,10,2025-06-26,15,9,12,2025-06-27,29,10,12,2025-06-28,13,9,16,2025-06-21,27,12,20,2025-06-22,30,14,35,2025-06-23,52,28,58,2025-06-24,63,50,45,2025-06-25,63,27,28,2025-06-26,48,25,35,2025-06-27,76,27,32,2025-06-28,37,28,1,2025-06-21,9,0,1,2025-06-22,9,0,1,2025-06-23,8,0,1,2025-06-24,8,0,1,2025-06-25,9,0,2,2025-06-26,10,0,2,2025-06-27,10,0,0,2025-06-28,0,0,{'sync': '2025-06-24T13:45:35+09:00'}
2025-01-29,2025-01-29,25,25,,2.3,4,16.8,15.3,78.3,1019.2,pm25,,"San Jose - Jackson St, Santa Clara, California",37.34849,-121.89494,"San Jose - Jackson St, Santa Clara, California",https://aqicn.org/city/california/santa-clara/san-jose-jackson-st,3902,2025-06-23T20:00:00-07:00,2025-06-23 20:00:00,-07:00,1750708800,CARB - California Air Resources Board|Air Now - US EPA|World Air Quality Index Project,,,,,6.25,1.4880952380952381,,5,1,0,6,3,,,2.3,78.3,4,16.8,1019.2,25,15.3,6,2025-06-21,10,4,7,2025-06-22,9,6,13,2025-06-23,17,10,20,2025-06-24,23,15,16,2025-06-25,23,10,10,2025-06-26,15,9,12,2025-06-27,29,10,12,2025-06-28,13,9,16,2025-06-21,27,12,20,2025-06-22,30,14,35,2025-06-23,52,28,58,2025-06-24,63,50,45,2025-06-25,63,27,28,2025-06-26,48,25,35,2025-06-27,76,27,32,2025-06-28,37,28,1,2025-06-21,9,0,1,2025-06-22,9,0,1,2025-06-23,8,0,1,2025-06-24,8,0,1,2025-06-25,9,0,2,2025-06-26,10,0,2,2025-06-27,10,0,0,2025-06-28,0,0,{'sync': '2025-06-24T13:45:35+09:00'}
2025-01-30,2025-01-30,25,25,,2.3,4,16.8,15.3,78.3,1019.2,pm25,,"San Jose - Jackson St, Santa Clara, California",37.34849,-121.89494,"San Jose - Jackson St, Santa Clara, California",https://aqicn.org/city/california/santa-clara/san-jose-jackson-st,3902,2025-06-23T20:00:00-07:00,2025-06-23 20:00:00,-07:00,1750708800,CARB - California Air Resources Board|Air Now - US EPA|World Air Quality Index Project,,,,,6.25,1.4880952380952381,,5,1,0,6,3,,,2.3,78.3,4,16.8,1019.2,25,15.3,6,2025-06-21,10,4,7,2025-06-22,9,6,13,2025-06-23,17,10,20,2025-06-24,23,15,16,2025-06-25,23,10,10,2025-06-26,15,9,12,2025-06-27,29,10,12,2025-06-28,13,9,16,2025-06-21,27,12,20,2025-06-22,30,14,35,2025-06-23,52,28,58,2025-06-24,63,50,45,2025-06-25,63,27,28,2025-06-26,48,25,35,2025-06-27,76,27,32,2025-06-28,37,28,1,2025-06-21,9,0,1,2025-06-22,9,0,1,2025-06-23,8,0,1,2025-06-24,8,0,1,2025-06-25,9,0,2,2025-06-26,10,0,2,2025-06-27,10,0,0,2025-06-28,0,0,{'sync': '2025-06-24T13:45:35+09:00'}
